"Date","CES5552300001"
2014-02-01,874.7
2014-03-01,877
2014-04-01,878.2
2014-05-01,879.8
2014-06-01,878.6
2014-07-01,883.9
2014-08-01,886.4
2014-09-01,888.7
2014-10-01,890.7
2014-11-01,893.2
2014-12-01,890.8
2015-01-01,896.3
2015-02-01,900.3
2015-03-01,899.1
2015-04-01,900.5
2015-05-01,901.7
2015-06-01,906.2
2015-07-01,907.3
2015-08-01,910.4
2015-09-01,912.1
2015-10-01,916.1
2015-11-01,919.9
2015-12-01,921.8
2016-01-01,920.9
2016-02-01,920.7
2016-03-01,923.1
2016-04-01,925.7
2016-05-01,927.4
2016-06-01,925.5
2016-07-01,928.3
2016-08-01,932.7
2016-09-01,931.9
2016-10-01,929.9
2016-11-01,928.2
2016-12-01,930.1
2017-01-01,932.1
2017-02-01,931.3
2017-03-01,932.1
2017-04-01,933.7
2017-05-01,934.4
2017-06-01,939.5
2017-07-01,943.9
2017-08-01,942.7
2017-09-01,942.3
2017-10-01,941.7
2017-11-01,942
2017-12-01,943.3
2018-01-01,946.7
2018-02-01,950.9
2018-03-01,951.8
2018-04-01,952.3
2018-05-01,952.3
2018-06-01,951.2
2018-07-01,950.9
2018-08-01,954.4
2018-09-01,954.4
2018-10-01,954.5
2018-11-01,960.6
2018-12-01,959.5
2019-01-01,957
2019-02-01,957.7
2019-03-01,959.4
2019-04-01,962
2019-05-01,961.7
2019-06-01,964.3
2019-07-01,966
2019-08-01,963.7
2019-09-01,962.9
2019-10-01,964.6
2019-11-01,963.3
2019-12-01,964
2020-01-01,962.7
2020-02-01,965.7
2020-03-01,967.5
2020-04-01,963.2
2020-05-01,963.6
2020-06-01,962.5
2020-07-01,961.4
2020-08-01,964.3
2020-09-01,967.2
2020-10-01,967.3
2020-11-01,965.6
2020-12-01,968.4
2021-01-01,976.6
2021-02-01,974.9
2021-03-01,975.9
2021-04-01,981.7
2021-05-01,990.3
2021-06-01,991.2
2021-07-01,997.4
2021-08-01,999.8
2021-09-01,1001.2
2021-10-01,1011.7
2021-11-01,1022.4
2021-12-01,1024.9
2022-01-01,1019.1
2022-02-01,1025.7
2022-03-01,1031.8
2022-04-01,1038.4
2022-05-01,1041.7
2022-06-01,1048.3
2022-07-01,1056.4
2022-08-01,1057.4
2022-09-01,1058.6
2022-10-01,1063.3
2022-11-01,1068.1
2022-12-01,1068.3
2023-01-01,1070.7
2023-02-01,1071.3
2023-03-01,1075.7
2023-04-01,1078.2
2023-05-01,1081.7
2023-06-01,1085.9
2023-07-01,1085.6
2023-08-01,1088.2
2023-09-01,1089.4
2023-10-01,1092.6
2023-11-01,1095.1
