"Date","WPU112B"
2017-05-01,142.9
2017-06-01,142.9
2017-07-01,143.2
2017-08-01,143.2
2017-09-01,143.2
2017-10-01,143.2
2017-11-01,143.2
2017-12-01,143.4
2018-01-01,136.4
2018-02-01,136.5
2018-03-01,136.5
2018-04-01,136.5
2018-05-01,136.6
2018-06-01,136.9
2018-07-01,138.1
2018-08-01,145.6
2018-09-01,145.9
2018-10-01,145.9
2018-11-01,145.9
2018-12-01,146.4
2019-01-01,148.7
2019-02-01,148.5
2019-03-01,148.5
2019-04-01,148.5
2019-05-01,148.6
2019-06-01,148.6
2019-07-01,148.9
2019-08-01,148.9
2019-09-01,148.9
2019-10-01,148.9
2019-11-01,148.9
2019-12-01,148.9
2020-01-01,150.1
2020-02-01,150.1
2020-03-01,150.2
2020-04-01,150.2
2020-05-01,150.2
2020-06-01,150.2
2020-07-01,150.2
2020-08-01,150.2
2020-09-01,150.2
2020-10-01,150.2
2020-11-01,150.2
2020-12-01,150.2
2021-01-01,152.6
2021-02-01,152.9
2021-03-01,153.1
2021-04-01,153.3
2021-05-01,153.9
2021-06-01,156.4
2021-07-01,156.655
2021-08-01,156.822
2021-09-01,156.879
2021-10-01,162.873
2021-11-01,163.041
2021-12-01,163.041
2022-01-01,163.238
2022-02-01,163.66
2022-03-01,163.798
2022-04-01,169.955
2022-05-01,170.779
2022-06-01,170.866
2022-07-01,171.765
2022-08-01,180.296
2022-09-01,180.319
2022-10-01,180.826
2022-11-01,181.071
2022-12-01,181.071
2023-01-01,189.45
2023-02-01,189.45
2023-03-01,189.45
2023-04-01,189.945
2023-05-01,189.945
2023-06-01,189.831
2023-07-01,196.481
2023-08-01,196.176
2023-09-01,196.176
2023-10-01,196.176
2023-11-01,196.176
