"Date","IQAG"
2006-06-01,124.1
2006-07-01,126.5
2006-08-01,127.7
2006-09-01,127.1
2006-10-01,128.4
2006-11-01,134.1
2006-12-01,137.3
2007-01-01,138.1
2007-02-01,142
2007-03-01,145
2007-04-01,142.9
2007-05-01,142.8
2007-06-01,146.7
2007-07-01,149
2007-08-01,150.5
2007-09-01,156.8
2007-10-01,162.8
2007-11-01,165
2007-12-01,169.3
2008-01-01,177.5
2008-02-01,185.6
2008-03-01,194.3
2008-04-01,190.5
2008-05-01,190.8
2008-06-01,195.2
2008-07-01,208.2
2008-08-01,188.2
2008-09-01,188.3
2008-10-01,172.5
2008-11-01,160.6
2008-12-01,150.8
2009-01-01,159.7
2009-02-01,157
2009-03-01,151.6
2009-04-01,157.2
2009-05-01,162.8
2009-06-01,169.7
2009-07-01,161.3
2009-08-01,161.6
2009-09-01,156.9
2009-10-01,155.8
2009-11-01,161.8
2009-12-01,164.7
2010-01-01,166.8
2010-02-01,160.2
2010-03-01,163.3
2010-04-01,162.7
2010-05-01,165.3
2010-06-01,165.3
2010-07-01,165
2010-08-01,172
2010-09-01,176.1
2010-10-01,181
2010-11-01,194.7
2010-12-01,198.5
2011-01-01,204.7
2011-02-01,214.1
2011-03-01,218.8
2011-04-01,217.8
2011-05-01,215.5
2011-06-01,217.2
2011-07-01,208.5
2011-08-01,211.9
2011-09-01,216
2011-10-01,201.9
2011-11-01,205.3
2011-12-01,200.5
2012-01-01,202.8
2012-02-01,202
2012-03-01,206.9
2012-04-01,211
2012-05-01,212
2012-06-01,204.5
2012-07-01,216.7
2012-08-01,227
2012-09-01,229.9
2012-10-01,226
2012-11-01,227.1
2012-12-01,227.4
2013-01-01,224.6
2013-02-01,229.1
2013-03-01,224.9
2013-04-01,220.1
2013-05-01,222.5
2013-06-01,224.2
2013-07-01,223.5
2013-08-01,214.2
2013-09-01,215.4
2013-10-01,212.6
2013-11-01,212.1
2013-12-01,212.8
2014-01-01,212.7
2014-02-01,215.6
2014-03-01,221.7
2014-04-01,225
2014-05-01,225.6
2014-06-01,221.4
2014-07-01,217.5
2014-08-01,210.8
2014-09-01,207.5
2014-10-01,202.9
2014-11-01,203.2
2014-12-01,201.8
2015-01-01,199
2015-02-01,194.6
2015-03-01,191.4
2015-04-01,189.7
2015-05-01,187.3
2015-06-01,184.3
2015-07-01,186.1
2015-08-01,181.5
2015-09-01,178.9
2015-10-01,179
2015-11-01,177.3
2015-12-01,175.7
2016-01-01,173.5
2016-02-01,174.7
2016-03-01,171
2016-04-01,172.4
2016-05-01,177.5
2016-06-01,181.9
2016-07-01,181.3
2016-08-01,175.1
2016-09-01,173.3
2016-10-01,174.2
2016-11-01,175.4
2016-12-01,175.1
2017-01-01,175.8
2017-02-01,178.3
2017-03-01,180.2
2017-04-01,180.3
2017-05-01,177.4
2017-06-01,174.9
2017-07-01,178.1
2017-08-01,178.1
2017-09-01,176.9
2017-10-01,180.4
2017-11-01,179.1
2017-12-01,178.5
2018-01-01,178.5
2018-02-01,179.5
2018-03-01,185.2
2018-04-01,183.1
2018-05-01,186
2018-06-01,184.2
2018-07-01,174.7
2018-08-01,175.4
2018-09-01,173.2
2018-10-01,173
2018-11-01,176
2018-12-01,182.6
2019-01-01,178.7
2019-02-01,179
2019-03-01,180.7
2019-04-01,178.1
2019-05-01,176.2
2019-06-01,180.5
2019-07-01,180.8
2019-08-01,176.5
2019-09-01,173.6
2019-10-01,176.5
2019-11-01,180.7
2019-12-01,180.5
2020-01-01,184.2
2020-02-01,178.8
2020-03-01,176.3
2020-04-01,170.4
2020-05-01,169.7
2020-06-01,172.4
2020-07-01,175.2
2020-08-01,171.3
2020-09-01,176.1
2020-10-01,182.2
2020-11-01,188.5
2020-12-01,190.3
2021-01-01,201.8
2021-02-01,207.3
2021-03-01,212.3
2021-04-01,213.8
2021-05-01,226.9
2021-06-01,230
2021-07-01,226.1
2021-08-01,228.1
2021-09-01,224.7
2021-10-01,227.2
2021-11-01,229.7
2021-12-01,231.2
2022-01-01,238.1
2022-02-01,245.1
2022-03-01,256.1
2022-04-01,259.2
2022-05-01,265.3
2022-06-01,265.3
2022-07-01,256.8
2022-08-01,255.4
2022-09-01,253.3
2022-10-01,251.9
2022-11-01,259
2022-12-01,252.8
2023-01-01,250.7
2023-02-01,252.7
2023-03-01,248.1
2023-04-01,249
2023-05-01,243.3
2023-06-01,239.8
2023-07-01,241.1
2023-08-01,236.4
2023-09-01,233.7
2023-10-01,231.3
2023-11-01,231.8
