"Date","INDUSTOT"
2009-04-01,116.9
2009-05-01,117.5
2009-06-01,119.3
2009-07-01,119.1
2009-08-01,119.9
2009-09-01,120.4
2009-10-01,121.6
2009-11-01,123.1
2009-12-01,123.9
2010-01-01,125.5
2010-02-01,125.7
2010-03-01,125.7
2010-04-01,126.2
2010-05-01,125.6
2010-06-01,124
2010-07-01,124.6
2010-08-01,124.9
2010-09-01,124.5
2010-10-01,124.4
2010-11-01,126.7
2010-12-01,128.1
2011-01-01,127.9
2011-02-01,129.1
2011-03-01,130.7
2011-04-01,133.8
2011-05-01,134.9
2011-06-01,133.8
2011-07-01,134.1
2011-08-01,133.4
2011-09-01,133
2011-10-01,132.6
2011-11-01,133.2
2011-12-01,133.2
2012-01-01,132.5
2012-02-01,132.2
2012-03-01,132.9
2012-04-01,131.8
2012-05-01,131.7
2012-06-01,130.2
2012-07-01,129.4
2012-08-01,129.8
2012-09-01,131.3
2012-10-01,131.9
2012-11-01,132
2012-12-01,131.1
2013-01-01,131.6
2013-02-01,132.4
2013-03-01,132.5
2013-04-01,132.3
2013-05-01,132.2
2013-06-01,131.5
2013-07-01,131.9
2013-08-01,131.9
2013-09-01,132
2013-10-01,131.1
2013-11-01,130.2
2013-12-01,129.9
2014-01-01,131
2014-02-01,133.8
2014-03-01,135.1
2014-04-01,133.3
2014-05-01,133.6
2014-06-01,133.8
2014-07-01,133.6
2014-08-01,132.5
2014-09-01,131.2
2014-10-01,129.9
2014-11-01,128.3
2014-12-01,125.5
2015-01-01,121.8
2015-02-01,121.4
2015-03-01,120.7
2015-04-01,120.7
2015-05-01,122.1
2015-06-01,122.5
2015-07-01,121.3
2015-08-01,118.7
2015-09-01,117
2015-10-01,117.2
2015-11-01,116.7
2015-12-01,115.5
2016-01-01,113.8
2016-02-01,113.5
2016-03-01,114.1
2016-04-01,115
2016-05-01,116.6
2016-06-01,117.4
2016-07-01,117.4
2016-08-01,116.9
2016-09-01,117
2016-10-01,117.7
2016-11-01,117.5
2016-12-01,118.1
2017-01-01,118.7
2017-02-01,119.3
2017-03-01,119
2017-04-01,119.2
2017-05-01,119.4
2017-06-01,119.1
2017-07-01,118.9
2017-08-01,119.7
2017-09-01,120.5
2017-10-01,120.5
2017-11-01,121.8
2017-12-01,122.4
2018-01-01,123.8
2018-02-01,123.9
2018-03-01,123.7
2018-04-01,124.7
2018-05-01,126.2
2018-06-01,125.9
2018-07-01,126
2018-08-01,125.3
2018-09-01,124.4
2018-10-01,124.6
2018-11-01,121.4
2018-12-01,119.6
2019-01-01,122.9
2019-02-01,126.3
2019-03-01,127.9
2019-04-01,128.5
2019-05-01,128.7
2019-06-01,126.6
2019-07-01,126.9
2019-08-01,126.4
2019-09-01,126.7
2019-10-01,126.3
2019-11-01,126.9
2019-12-01,126.9
2020-01-01,126.6
2020-02-01,124.8
2020-03-01,121.5
2020-04-01,116.3
2020-05-01,116.9
2020-06-01,121.6
2020-07-01,122.8
2020-08-01,125.8
2020-09-01,125.9
2020-10-01,125.6
2020-11-01,125.4
2020-12-01,127.6
2021-01-01,130.5
2021-02-01,132.7
2021-03-01,135.6
2021-04-01,136.6
2021-05-01,139
2021-06-01,140.7
2021-07-01,140.2
2021-08-01,138.5
2021-09-01,138.5
2021-10-01,141.3
2021-11-01,142.7
2021-12-01,141.3
2022-01-01,145.3
2022-02-01,149.4
2022-03-01,155.8
2022-04-01,156
2022-05-01,157
2022-06-01,157.7
2022-07-01,153.7
2022-08-01,151.2
2022-09-01,149
2022-10-01,148.2
2022-11-01,146
2022-12-01,146.7
2023-01-01,146.8
2023-02-01,145.1
2023-03-01,144
2023-04-01,145.3
2023-05-01,144.7
2023-06-01,144.1
2023-07-01,144.7
2023-08-01,146.4
2023-09-01,146.9
2023-10-01,146.2
2023-11-01,145
