"Date","WPU0613020T1"
2010-01-01,NA
2010-02-01,NA
2010-03-01,NA
2010-04-01,NA
2010-05-01,NA
2010-06-01,NA
2010-07-01,NA
2010-08-01,NA
2010-09-01,NA
2010-10-01,NA
2010-11-01,NA
2010-12-01,NA
2011-01-01,138.2
2011-02-01,141.4
2011-03-01,142.2
2011-04-01,146.4
2011-05-01,150
2011-06-01,153.3
2011-07-01,153.5
2011-08-01,157.1
2011-09-01,159.7
2011-10-01,155
2011-11-01,162.6
2011-12-01,163.9
2012-01-01,162.9
2012-02-01,159.3
2012-03-01,159
2012-04-01,152.4
2012-05-01,153.1
2012-06-01,154
2012-07-01,152.5
2012-08-01,154.1
2012-09-01,156.5
2012-10-01,156.1
2012-11-01,155.2
2012-12-01,149.3
2013-01-01,155.4
2013-02-01,150.9
2013-03-01,144
2013-04-01,135.3
2013-05-01,148.7
2013-06-01,144.8
2013-07-01,142.2
2013-08-01,132.2
2013-09-01,129.7
2013-10-01,128.2
2013-11-01,128.8
2013-12-01,123.3
2014-01-01,117.9
2014-02-01,124.1
2014-03-01,121.3
2014-04-01,119.1
2014-05-01,123.3
2014-06-01,128.6
2014-07-01,131.5
2014-08-01,132.6
2014-09-01,131.8
2014-10-01,132.5
2014-11-01,125.4
2014-12-01,135.5
2015-01-01,130.1
2015-02-01,142.2
2015-03-01,136.7
2015-04-01,145.5
2015-05-01,142.4
2015-06-01,141.8
2015-07-01,139
2015-08-01,141.2
2015-09-01,140.2
2015-10-01,140.3
2015-11-01,138.1
2015-12-01,136.6
2016-01-01,137.4
2016-02-01,131.3
2016-03-01,135.6
2016-04-01,136.7
2016-05-01,131.8
2016-06-01,127
2016-07-01,121
2016-08-01,127.2
2016-09-01,128.9
2016-10-01,126.3
2016-11-01,125.7
2016-12-01,127.3
2017-01-01,128.7
2017-02-01,123.7
2017-03-01,120.2
2017-04-01,118.2
2017-05-01,122.3
2017-06-01,117.8
2017-07-01,122.7
2017-08-01,128.1
2017-09-01,123.9
2017-10-01,128.8
2017-11-01,126.3
2017-12-01,133.4
2018-01-01,132
2018-02-01,132.2
2018-03-01,137.2
2018-04-01,136.2
2018-05-01,136.2
2018-06-01,137.6
2018-07-01,145.7
2018-08-01,138.2
2018-09-01,139.8
2018-10-01,143.3
2018-11-01,144.1
2018-12-01,149.2
2019-01-01,148.9
2019-02-01,151.7
2019-03-01,148.9
2019-04-01,151.7
2019-05-01,144.7
2019-06-01,143.3
2019-07-01,139.4
2019-08-01,138.9
2019-09-01,140.3
2019-10-01,139.9
2019-11-01,137.4
2019-12-01,131.7
2020-01-01,128.8
2020-02-01,128.9
2020-03-01,126.7
2020-04-01,125.6
2020-05-01,127.2
2020-06-01,133
2020-07-01,133.9
2020-08-01,129.6
2020-09-01,130.3
2020-10-01,131.7
2020-11-01,133.9
2020-12-01,135.1
2021-01-01,135.3
2021-02-01,140.8
2021-03-01,143.3
2021-04-01,148.4
2021-05-01,187
2021-06-01,194
2021-07-01,205.283
2021-08-01,203.453
2021-09-01,202.181
2021-10-01,203.739
2021-11-01,202.578
2021-12-01,231.352
2022-01-01,236.954
2022-02-01,247.069
2022-03-01,255.717
2022-04-01,267.942
2022-05-01,334.901
2022-06-01,357.653
2022-07-01,340.449
2022-08-01,301.901
2022-09-01,302.824
2022-10-01,297.574
2022-11-01,208.812
2022-12-01,205.684
2023-01-01,204.857
2023-02-01,207.55
2023-03-01,205.142
2023-04-01,214.055
2023-05-01,188.793
2023-06-01,188.147
2023-07-01,186.785
2023-08-01,184.098
2023-09-01,185.752
2023-10-01,185.752
2023-11-01,185.752
