"Date","WPSSOP1300"
2005-05-01,236.6
2005-06-01,223.4
2005-07-01,250.2
2005-08-01,265.4
2005-09-01,340.8
2005-10-01,397.4
2005-11-01,394.1
2005-12-01,341.9
2006-01-01,332.6
2006-02-01,268.6
2006-03-01,243
2006-04-01,238.8
2006-05-01,238
2006-06-01,212.3
2006-07-01,212.8
2006-08-01,244.6
2006-09-01,229.3
2006-10-01,164.6
2006-11-01,251.2
2006-12-01,262.7
2007-01-01,212.4
2007-02-01,253
2007-03-01,255
2007-04-01,247.7
2007-05-01,257.8
2007-06-01,260.3
2007-07-01,237
2007-08-01,212.1
2007-09-01,193.5
2007-10-01,217.9
2007-11-01,243.9
2007-12-01,251.8
2008-01-01,253.3
2008-02-01,282.9
2008-03-01,306.1
2008-04-01,328.1
2008-05-01,368.5
2008-06-01,378.2
2008-07-01,410.3
2008-08-01,309.9
2008-09-01,273.6
2008-10-01,236.5
2008-11-01,206.7
2008-12-01,225
2009-01-01,216.4
2009-02-01,178
2009-03-01,157.1
2009-04-01,151.8
2009-05-01,147.1
2009-06-01,150.5
2009-07-01,159.9
2009-08-01,156.4
2009-09-01,138.3
2009-10-01,162
2009-11-01,183.3
2009-12-01,194.2
2010-01-01,231.8
2010-02-01,221.6
2010-03-01,201
2010-04-01,174
2010-05-01,179.9
2010-06-01,182.1
2010-07-01,195.7
2010-08-01,195.6
2010-09-01,166.9
2010-10-01,168.8
2010-11-01,156.7
2010-12-01,181.9
2011-01-01,185.8
2011-02-01,189.3
2011-03-01,176
2011-04-01,186.5
2011-05-01,189.1
2011-06-01,190.6
2011-07-01,191.3
2011-08-01,190.5
2011-09-01,179.4
2011-10-01,172.7
2011-11-01,164.9
2011-12-01,161.4
2012-01-01,153.4
2012-02-01,141.5
2012-03-01,134.1
2012-04-01,126
2012-05-01,124.5
2012-06-01,133.5
2012-07-01,142
2012-08-01,148.1
2012-09-01,142.6
2012-10-01,150.1
2012-11-01,162
2012-12-01,169
2013-01-01,159.7
2013-02-01,156.7
2013-03-01,159.8
2013-04-01,174.1
2013-05-01,180.8
2013-06-01,177.6
2013-07-01,168.9
2013-08-01,162.9
2013-09-01,164.7
2013-10-01,164
2013-11-01,165.1
2013-12-01,173.8
2014-01-01,184.3
2014-02-01,218.7
2014-03-01,203.2
2014-04-01,192.3
2014-05-01,191.4
2014-06-01,187
2014-07-01,181.6
2014-08-01,168.3
2014-09-01,170.3
2014-10-01,169.4
2014-11-01,165.4
2014-12-01,176.1
2015-01-01,146
2015-02-01,137
2015-03-01,138.5
2015-04-01,128.1
2015-05-01,128.6
2015-06-01,133.8
2015-07-01,133.6
2015-08-01,134.8
2015-09-01,130.2
2015-10-01,129.3
2015-11-01,117.7
2015-12-01,120.8
