"Date","WPU03T15M05"
1980-04-01,88.2
1980-05-01,88.2
1980-06-01,88.7
1980-07-01,89.4
1980-08-01,90
1980-09-01,90.2
1980-10-01,91.5
1980-11-01,91.8
1980-12-01,92.5
1981-01-01,93.8
1981-02-01,94.3
1981-03-01,94.8
1981-04-01,96
1981-05-01,96.4
1981-06-01,96.6
1981-07-01,97.2
1981-08-01,97.6
1981-09-01,97.7
1981-10-01,98.5
1981-11-01,98.6
1981-12-01,98.8
1982-01-01,99.4
1982-02-01,99.5
1982-03-01,99.6
1982-04-01,99.8
1982-05-01,100
1982-06-01,99.9
1982-07-01,99.9
1982-08-01,99.9
1982-09-01,99.9
1982-10-01,100.6
1982-11-01,100.6
1982-12-01,100.8
1983-01-01,101
1983-02-01,101.5
1983-03-01,101.5
1983-04-01,101.8
1983-05-01,102
1983-06-01,102.2
1983-07-01,102.6
1983-08-01,102.8
1983-09-01,102.7
1983-10-01,103.3
1983-11-01,103.5
1983-12-01,103.7
1984-01-01,104.2
1984-02-01,104.7
1984-03-01,105.1
1984-04-01,105.5
1984-05-01,105.5
1984-06-01,105.6
1984-07-01,105.7
1984-08-01,105.7
1984-09-01,105.4
1984-10-01,105.9
1984-11-01,106
1984-12-01,105.9
1985-01-01,106.3
1985-02-01,106.5
1985-03-01,106.6
1985-04-01,106.8
1985-05-01,106.9
1985-06-01,106.9
1985-07-01,107
1985-08-01,107
1985-09-01,106.4
1985-10-01,107.1
1985-11-01,107.1
1985-12-01,107.1
1986-01-01,107.3
1986-02-01,107.3
1986-03-01,107.4
1986-04-01,107.6
1986-05-01,107.5
1986-06-01,107.6
1986-07-01,107.7
1986-08-01,107.7
1986-09-01,107.5
1986-10-01,108.4
1986-11-01,108.4
1986-12-01,108.4
1987-01-01,108.9
1987-02-01,109.1
1987-03-01,109.3
1987-04-01,109.7
1987-05-01,109.9
1987-06-01,110.2
1987-07-01,110.6
1987-08-01,110.9
1987-09-01,111.2
1987-10-01,112.2
1987-11-01,112.6
1987-12-01,112.9
1988-01-01,114
1988-02-01,114.4
1988-03-01,114.8
1988-04-01,115.4
1988-05-01,115.8
1988-06-01,116.1
1988-07-01,116.8
1988-08-01,117.2
1988-09-01,117.4
1988-10-01,118.3
1988-11-01,118.8
1988-12-01,119.3
1989-01-01,120.3
1989-02-01,120.7
1989-03-01,121
1989-04-01,121.3
1989-05-01,121.5
1989-06-01,121.6
1989-07-01,121.4
1989-08-01,121.5
1989-09-01,121.6
1989-10-01,122.3
1989-11-01,122.1
1989-12-01,122.1
1990-01-01,122.6
1990-02-01,122.7
1990-03-01,123
1990-04-01,123.4
1990-05-01,123.6
1990-06-01,123.6
1990-07-01,123.8
1990-08-01,124.1
1990-09-01,124.4
1990-10-01,125.2
1990-11-01,125.4
1990-12-01,125.4
1991-01-01,126.1
1991-02-01,126.1
1991-03-01,125.9
1991-04-01,125.9
1991-05-01,125.8
1991-06-01,125.7
1991-07-01,125.7
1991-08-01,125.6
1991-09-01,125.5
1991-10-01,126.1
1991-11-01,126.1
1991-12-01,126.2
1992-01-01,126.6
1992-02-01,126.8
1992-03-01,127.1
1992-04-01,127.3
1992-05-01,127.5
1992-06-01,127.5
1992-07-01,127.6
1992-08-01,127.6
1992-09-01,127.5
1992-10-01,128.1
1992-11-01,128.1
1992-12-01,128.3
1993-01-01,129
1993-02-01,129.5
1993-03-01,129.8
1993-04-01,130.1
1993-05-01,130
1993-06-01,129.8
1993-07-01,129.9
1993-08-01,129.4
1993-09-01,129.1
1993-10-01,129.8
1993-11-01,130
1993-12-01,130.3
1994-01-01,130.9
1994-02-01,131.1
1994-03-01,131.3
1994-04-01,131.5
1994-05-01,131.7
1994-06-01,132.1
1994-07-01,132.5
1994-08-01,132.9
1994-09-01,133.3
1994-10-01,134.3
1994-11-01,135
1994-12-01,135.6
1995-01-01,137.1
1995-02-01,137.9
1995-03-01,138.3
1995-04-01,139
1995-05-01,139.3
1995-06-01,139.4
1995-07-01,139.6
1995-08-01,139.6
1995-09-01,139.3
1995-10-01,139.7
1995-11-01,139.6
1995-12-01,139.4
1996-01-01,139.3
1996-02-01,139.1
1996-03-01,138.8
1996-04-01,138.5
1996-05-01,138.7
1996-06-01,138.6
1996-07-01,138.3
1996-08-01,138.4
1996-09-01,138.4
1996-10-01,138.6
1996-11-01,138.6
1996-12-01,138.8
1997-01-01,139.1
1997-02-01,139.2
1997-03-01,139.3
1997-04-01,139.2
1997-05-01,139.1
1997-06-01,139.1
1997-07-01,139
1997-08-01,139.1
1997-09-01,139
1997-10-01,139.4
1997-11-01,139.4
1997-12-01,139.3
1998-01-01,139.3
1998-02-01,139.3
1998-03-01,139.5
1998-04-01,139.5
1998-05-01,139.3
1998-06-01,139.1
1998-07-01,139
1998-08-01,138.8
1998-09-01,138.5
1998-10-01,138.6
1998-11-01,138.4
1998-12-01,138.7
1999-01-01,138.6
1999-02-01,138.6
1999-03-01,138.6
1999-04-01,138.7
1999-05-01,138.9
1999-06-01,139
1999-07-01,139.3
1999-08-01,139.5
1999-09-01,139.8
1999-10-01,140.7
1999-11-01,140.8
1999-12-01,141
2000-01-01,141.4
2000-02-01,141.8
2000-03-01,142.1
2000-04-01,142.5
2000-05-01,142.5
2000-06-01,142.6
2000-07-01,142.7
2000-08-01,142.5
2000-09-01,142.7
2000-10-01,143.1
2000-11-01,142.9
2000-12-01,142.9
2001-01-01,143.5
2001-02-01,143.5
2001-03-01,143.6
2001-04-01,143.7
2001-05-01,143.7
2001-06-01,143.6
2001-07-01,143.2
2001-08-01,142.8
2001-09-01,142.8
2001-10-01,142.6
2001-11-01,142.3
2001-12-01,142.2
2002-01-01,142.2
2002-02-01,142.2
2002-03-01,142.4
2002-04-01,142.8
2002-05-01,142.7
2002-06-01,143
2002-07-01,143
2002-08-01,143
2002-09-01,143.2
2002-10-01,143.9
2002-11-01,143.8
2002-12-01,143.4
2003-01-01,144
2003-02-01,144.7
2003-03-01,145.3
2003-04-01,144.8
2003-05-01,144.9
2003-06-01,144.8
2003-07-01,144.6
2003-08-01,144.8
2003-09-01,145
2003-10-01,145.9
2003-11-01,146.1
2003-12-01,146.3
2004-01-01,147.2
2004-02-01,148.2
2004-03-01,149.1
2004-04-01,150
2004-05-01,150.5
2004-06-01,150.9
2004-07-01,151.5
2004-08-01,152.6
2004-09-01,153.3
2004-10-01,154.6
2004-11-01,155
2004-12-01,155.4
2005-01-01,156.4
2005-02-01,156.9
2005-03-01,157.4
2005-04-01,157.6
2005-05-01,157.4
2005-06-01,157
2005-07-01,157.3
2005-08-01,157.5
2005-09-01,158.7
2005-10-01,160.5
2005-11-01,161
2005-12-01,161.3
2006-01-01,162.5
2006-02-01,163.2
2006-03-01,163.8
2006-04-01,164.8
2006-05-01,166.4
2006-06-01,166.8
2006-07-01,167.1
2006-08-01,167.5
2006-09-01,167.6
2006-10-01,167.7
2006-11-01,167.8
2006-12-01,167.9
2007-01-01,168.2
2007-02-01,168.6
2007-03-01,169.4
2007-04-01,170.3
2007-05-01,170.8
2007-06-01,171
2007-07-01,171.4
2007-08-01,171.1
2007-09-01,171.2
2007-10-01,172.2
2007-11-01,173.1
2007-12-01,173.1
2008-01-01,174.7
2008-02-01,175.9
2008-03-01,177.4
2008-04-01,179.8
2008-05-01,181.8
2008-06-01,183.2
2008-07-01,185.9
2008-08-01,186.6
2008-09-01,186.2
2008-10-01,183.7
2008-11-01,179.9
2008-12-01,177.4
2009-01-01,176.9
2009-02-01,176.1
2009-03-01,175.6
2009-04-01,175
2009-05-01,174.9
2009-06-01,175.2
2009-07-01,175.5
2009-08-01,176.6
2009-09-01,177.2
2009-10-01,177.7
2009-11-01,178.1
2009-12-01,178.9
2010-01-01,180.2
2010-02-01,181.2
2010-03-01,182.4
2010-04-01,183.8
2010-05-01,184
2010-06-01,183.1
2010-07-01,182.7
2010-08-01,183.1
2010-09-01,183.5
2010-10-01,184.6
2010-11-01,185.4
2010-12-01,186.3
2011-01-01,188.6
2011-02-01,190.2
2011-03-01,191.2
2011-04-01,193
2011-05-01,193.7
2011-06-01,193.9
2011-07-01,194.6
2011-08-01,194.5
2011-09-01,194.6
2011-10-01,193.9
2011-11-01,193.2
2011-12-01,192.7
2012-01-01,193.8
2012-02-01,194.7
2012-03-01,195.7
2012-04-01,195.8
2012-05-01,195.4
2012-06-01,193.7
2012-07-01,193.3
2012-08-01,193.3
2012-09-01,193.7
2012-10-01,193.9
2012-11-01,194
2012-12-01,194.2
2013-01-01,195.3
2013-02-01,196.1
2013-03-01,196.1
2013-04-01,195.9
2013-05-01,195.5
2013-06-01,195.4
2013-07-01,195.2
2013-08-01,195.3
2013-09-01,195.1
2013-10-01,195.4
2013-11-01,195.5
2013-12-01,195.9
2014-01-01,197.2
2014-02-01,197.6
2014-03-01,197.3
2014-04-01,197.7
2014-05-01,197.6
2014-06-01,197.7
2014-07-01,198.2
2014-08-01,198.4
2014-09-01,198.3
2014-10-01,198.2
2014-11-01,197.4
2014-12-01,196.7
2015-01-01,196
2015-02-01,195.4
2015-03-01,195
2015-04-01,194.8
2015-05-01,194.9
2015-06-01,195.2
2015-07-01,194.9
2015-08-01,193.9
2015-09-01,193.1
2015-10-01,192.9
2015-11-01,192.3
2015-12-01,191.9
2016-01-01,191.9
2016-02-01,191.8
2016-03-01,192.1
2016-04-01,192.8
2016-05-01,193.4
2016-06-01,193.7
2016-07-01,193.7
2016-08-01,194
2016-09-01,193.9
2016-10-01,194.3
2016-11-01,194.9
2016-12-01,195.6
2017-01-01,196.8
2017-02-01,197.8
2017-03-01,198.7
2017-04-01,199.3
2017-05-01,199.2
2017-06-01,199.4
2017-07-01,199.2
2017-08-01,199.7
2017-09-01,200
2017-10-01,200.9
2017-11-01,201.5
2017-12-01,201.7
2018-01-01,203
2018-02-01,203.8
2018-03-01,204.8
2018-04-01,205.4
2018-05-01,206.3
2018-06-01,207
2018-07-01,207.4
2018-08-01,207.6
2018-09-01,207.9
2018-10-01,208.7
2018-11-01,208.5
2018-12-01,207.8
2019-01-01,208.3
2019-02-01,208.2
2019-03-01,208.4
2019-04-01,208.2
2019-05-01,207.7
2019-06-01,207.1
2019-07-01,206.9
2019-08-01,206.5
2019-09-01,206.1
2019-10-01,206.5
2019-11-01,206.4
2019-12-01,206.3
2020-01-01,207.2
2020-02-01,207.1
2020-03-01,207.1
2020-04-01,205.2
2020-05-01,204.4
2020-06-01,205
2020-07-01,205.8
2020-08-01,207
2020-09-01,208.1
2020-10-01,208.7
2020-11-01,209.2
2020-12-01,211.5
2021-01-01,214.9
2021-02-01,217.5
2021-03-01,221.5
2021-04-01,225.9
2021-05-01,230.5
2021-06-01,234
2021-07-01,236.539
2021-08-01,238.534
2021-09-01,240.004
2021-10-01,242.825
2021-11-01,245.549
2021-12-01,246.483
2022-01-01,249.774
2022-02-01,251.33
2022-03-01,254.556
2022-04-01,257.425
2022-05-01,260.128
2022-06-01,260.449
2022-07-01,259.519
2022-08-01,258.706
2022-09-01,257.14
2022-10-01,255.891
2022-11-01,255.703
2022-12-01,255.204
2023-01-01,257.029
2023-02-01,257.806
2023-03-01,258.065
2023-04-01,258.597
2023-05-01,258.603
2023-06-01,257.683
2023-07-01,256.701
2023-08-01,256.364
2023-09-01,256.257
2023-10-01,256.207
2023-11-01,256.022
